address,latitude,longitude
Damen Ave,41.751171,-87.673157
Kedzie Ave,41.770238,-87.702937
Cicero Ave,41.779921,-87.74234
Pulaski Rd,41.779583,-87.722787
Kedzie Ave,41.780314,-87.703172
Ashland Ave,41.780774,-87.664249
Central Ave,41.793546,-87.762329
Cicero Ave,41.794355,-87.742622
Kedzie Ave,41.794916,-87.703597
California Ave,41.794209,-87.693813
Damen Ave,41.795427,-87.674346
Archer Ave,41.809086,-87.712401
Kedzie Ave,41.809606,-87.704033
California Ave,41.80897,-87.694224
Damen Ave,41.82387,-87.675108
Kostner Ave,41.837654,-87.734096
Kedzie Ave,41.839026,-87.704872
California Ave,41.838385,-87.695058
Hamlin Ave,41.846135,-87.719725
Marshall Blvd,41.852795,-87.699117
California Ave,41.852259,-87.695456
Damen Ave,41.852275,-87.675844
Kostner Ave,41.859611,-87.734761
Pulaski Rd,41.859508,-87.724975
Sacramento Ave,41.866927,-87.700802
Kimball Ave,41.914325,-87.71182
Central Ave,41.877492,-87.764763
Laramie Ave,41.878472,-87.754997
Austin Ave,41.896495,-87.775191
Ashland Ave,41.911509,-87.667716
Damen Ave,41.920367,-87.677714
Milwaukee Ave,41.918295,-87.689798
Pulaski Rd,41.911129,-87.72637
Laramie Ave,41.91094,-87.755711
Narragansett Ave,41.910958,-87.785061
Harlem Ave,41.923557,-87.80624
Kedzie Ave,41.92573,-87.707248
Sacramento Ave,41.925478,-87.702337
Ashland Ave,41.926152,-87.668181
Lake Shore Inner Dr,41.934544,-87.636704
Halsted St,41.933425,-87.649035
Sheffield Ave,41.933448,-87.653886
Southport Ave,41.934004,-87.663612
Ashland Ave,41.934063,-87.668456
Kimball Ave,41.93822,-87.712455
Kimball Ave,41.928608,-87.712206
Central Park Ave,41.933649,-87.717233
Pulaski Rd,41.932562,-87.727001
Kostner Ave,41.932608,-87.736835
Cicero Ave,41.9329,-87.746649
Laramie Ave,41.932527,-87.756461
Cumberland Ave,41.939209,-87.836148
Cumberland Ave,41.946244,-87.836483
Harlem Ave,41.939539,-87.8068
Forest Preserve Ave,41.94619,-87.822945
Oak Park Ave,41.946811,-87.796043
Central Ave,41.947672,-87.766819
Laramie Ave,41.946687,-87.75694
Cicero Ave,41.940497,-87.746913
Cicero Ave,41.947548,-87.747128
Milwaukee Ave,41.946769,-87.736449
Kedzie Ave,41.940356,-87.707649
Elston Ave,41.940326,-87.69968
California Ave,41.940634,-87.697862
Western Ave (over pass),41.940366,-87.688076
Damen Ave,41.940256,-87.678374
Sheffield Ave,41.940796,-87.654132
Halsted St,41.940877,-87.649294
Lake Shore Inner Dr,41.949054,-87.643703
Broadway,41.948385,-87.647898
Halsted St,41.948965,-87.649538
Clark St,41.94979,-87.658602
Ashland Ave,41.947751,-87.668879
Narragansett Ave,41.954774,-87.78662
Cicero Ave,41.955093,-87.747349
Pulaski Rd,41.955447,-87.727666
Elston Ave,41.954748,-87.720647
Damen Ave,41.963061,-87.679019
Ashland Ave,41.955361,-87.669076
Clarendon St,41.963669,-87.649966
Sheridan Rd,41.962457,-87.654755
Pulaski Rd,41.962267,-87.727863
Milwaukee Ave,41.96815,-87.760968
Nagle Ave,41.970016,-87.787986
Northwest Hwy,41.984243,-87.784632
Elston Ave,41.975635,-87.752372
Kedzie Ave,41.976775,-87.708705
Western Ave,41.976829,-87.689187
Broadway,41.977627,-87.659904
Broadway,41.986182,-87.660145
Western Ave,41.992273,-87.689704
Rogers Ave,42.013319,-87.680974
Clark St,42.017888,-87.67569
Lincoln Ave,41.992962,-87.711563
Kimball Ave,41.992042,-87.714036
Central Ave,41.998732,-87.763298
Harlem Ave,41.999165,-87.806776
Racine Ave,41.876982,-87.657007
Wabash Ave,41.879007,-87.626108
Michigan Ave,41.879529,-87.624351
Columbus Dr,41.878842,-87.620705
Hamlin Ave,41.882384,-87.720836
Pulaski Rd,41.886148,-87.725824
Central Park Ave,41.886115,-87.71603
Homan Ave,41.88602,-87.711158
Kedzie Ave,41.885154,-87.706241
Western Ave,41.885258,-87.686545
Damen Ave,41.885313,-87.676747
Halsted St,41.886044,-87.647485
Milwaukee Ave,41.892395,-87.64944
Wabash Ave,41.893693,-87.626772
Halsted St,41.897792,-87.647818
Homan Ave,41.903995,-87.711714
Western Ave,41.903947,-87.687051
Clybourn Ave,41.904483,-87.640587
Clark St,41.897747,-87.631275
Wells St,41.912883,-87.634765
Sedgwick St,41.912849,-87.638637
Ashland Ave,41.693283,-87.661875
Nagle Ave,41.975916,-87.787866
Gunnison St,41.968461,-87.784013
Grand Ave,41.921271,-87.779472
Fullerton Ave,41.9237,-87.784023
Belmont Ave,41.938356,-87.783382
Addison St,41.945751,-87.778573
Irving Park Rd,41.952978,-87.781878
Diversey Ave,41.930915,-87.792906
Oak Park Ave,41.915365,-87.794984
North Ave,41.908868,-87.804756
North Ave,41.90909,-87.789897
Washington St,41.882936,-87.659747
Randolph St,41.88422,-87.658216
State St,41.893306,-87.628117
La Salle St,41.893609,-87.63265
Dearborn St,41.893431,-87.629699
Clark St,41.89363,-87.631177
Wells St,41.89337,-87.634114
Northwest Hwy,42.004572,-87.818987
26th St,41.844157,-87.731356
Armitage Ave,41.917095,-87.732056
La Salle St,41.885449,-87.632438
Wabash Ave,41.88535,-87.626269
Dearborn St,41.884893,-87.629469
Clark St,41.885107,-87.630954
Wells St,41.885249,-87.633916
Franklin St,41.884874,-87.635389
Jefferson St,41.8848,-87.642746
Des Plaines St,41.885696,-87.644242
95Th St,41.722917,-87.538618
Avenue O,41.690863,-87.540104
Cottage Grove Ave,41.706017,-87.606829
Cottage Grove Ave,41.716726,-87.604408
Commercial Ave,41.727211,-87.551189
Cottage Grove Ave,41.764407,-87.605533
Harlem Ave,41.778426,-87.800934
Central Ave,41.777058,-87.761684
California Ave,41.778712,-87.69338
Pulaski Rd,41.836244,-87.724337
Damen Ave,41.851171,-87.675811
Homan Ave,41.857335,-87.710287
Central Ave,41.875738,-87.764697
Laramie Ave,41.909168,-87.755815
Racine Ave,41.92351,-87.658394
Sacramento Ave,41.923889,-87.70229
Narragansett Ave,41.931002,-87.785687
Pulaski Rd,41.931151,-87.726959
Halsted St,41.931822,-87.648979
Milwaukee Ave,41.938251,-87.72247
Broadway,41.946355,-87.646666
Kedzie Ave,41.966963,-87.708429
